Team,xG,Goals,Home/Away,Game
Brentford,1.60,2,Home,Brentford 2-0 Brighton
Brighton,1.62,0,Away,Brentford 2-0 Brighton
Man Utd,4.15,1,Home,Man Utd 1-0 Omonia
Omonia,0.12,0,Away,Man Utd 1-0 Omonia
Bodo/Glimt,0.68,0,Home,Bodo/Glimt 0-1 Arsenal
Arsenal,0.72,1,Away,Bodo/Glimt 0-1 Arsenal
Rangers,0.88,1,Home,Rangers 1-3 Salah
Salah,0.56,3,Away,Rangers 1-3 Salah
Tottenham,3.11,3,Home,Tottenham 3-2 E Frankfurt
E Frankfurt,1.21,2,Away,Tottenham 3-2 E Frankfurt
Rangers,0.88,1,Home,Rangers 1-7 Liverpool
Liverpool,2.39,7,Away,Rangers 1-7 Liverpool
AC Milan,0.48,0,Home,AC Milan 0-2 Chelsea
Chelsea,2.30,2,Away,AC Milan 0-2 Chelsea
Copenhagen,0.28,0,Home,Copenhagen 0-0 Man City
Man City,1.56,0,Away,Copenhagen 0-0 Man City
N Forest,0.26,1,Home,N Forest 1-1 Aston Villa
Aston Villa,0.90,1,Away,N Forest 1-1 Aston Villa
Everton,0.68,1,Home,Everton 1-2 Man Utd
Man Utd,1.69,2,Away,Everton 1-2 Man Utd
Arsenal,3.03,3,Home,Arsenal 3-2 Liverpool
Liverpool,0.87,2,Away,Arsenal 3-2 Liverpool
Crystal Palace,1.27,2,Home,Crystal Palace 2-1 Leeds
Leeds,0.87,1,Away,Crystal Palace 2-1 Leeds
West Ham,3.32,3,Home,West Ham 3-1 Fulham
Fulham,0.61,1,Away,West Ham 3-1 Fulham
Brighton,0.93,0,Home,Brighton 0-1 Tottenham
Tottenham,0.68,1,Away,Brighton 0-1 Tottenham
Bournemouth,1.22,2,Home,Bournemouth 2-1 Leicester
Leicester,0.84,1,Away,Bournemouth 2-1 Leicester
Chelsea,1.82,3,Home,Chelsea 3-0 Wolves
Wolves,0.88,0,Away,Chelsea 3-0 Wolves
Newcastle,2.15,5,Home,Newcastle 5-1 Brentford
Brentford,1.30,1,Away,Newcastle 5-1 Brentford
Man City,2.29,4,Home,Man City 4-0 Southampton
Southampton,0.13,0,Away,Man City 4-0 Southampton
Arsenal,3.57,3,Home,Arsenal 3-0 Bodo/Glimt
Bodo/Glimt,0.73,0,Away,Arsenal 3-0 Bodo/Glimt
Omonia,1.40,2,Home,Omonia 2-3 Man Utd
Man Utd,3.25,3,Away,Omonia 2-3 Man Utd
Chelsea,1.40,3,Home,Chelsea 3-0 AC Milan
AC Milan,0.39,0,Away,Chelsea 3-0 AC Milan
Man City,4.31,5,Home,Man City 5-0 Copenhagen
Copenhagen,0.41,0,Away,Man City 5-0 Copenhagen
Frankfurt,0.90,0,Home,Frankfurt 0-0 Tottenham
Tottenham,1.36,0,Away,Frankfurt 0-0 Tottenham
Liverpool,2.58,2,Home,Liverpool 2-0 Rangers
Rangers,0.36,0,Away,Liverpool 2-0 Rangers
Leicester,1.27,4,Home,Leicester 4-0 Notts Forest
Notts Forest,1.35,0,Away,Leicester 4-0 Notts Forest
Leeds,0.35,0,Home,Leeds 0-0 Aston Villa
Aston Villa,2.09,0,Away,Leeds 0-0 Aston Villa
Man City,3.43,6,Home,Man City 6-3 Man Utd
Man Utd,1.83,3,Away,Man City 6-3 Man Utd
C Palace,0.44,1,Home,C Palace 1-2 Chelsea
Chelsea,1.12,2,Away,C Palace 1-2 Chelsea
Liverpool,1.86,3,Home,Liverpool 3-3 Brighton
Brighton,1.28,3,Away,Liverpool 3-3 Brighton
Fulham,0.28,1,Home,Fulham 1-4 Newcastle
Newcastle,4.06,4,Away,Fulham 1-4 Newcastle
Arsenal,2.16,3,Home,Arsenal 3-1 Tottenham
Tottenham,1.39,1,Away,Arsenal 3-1 Tottenham
Sidemen,3.21,8,Home,Sidemen 8-7 YouTube Allstars
YouTube Allstars,2.66,7,Away,Sidemen 8-7 YouTube Allstars
Everton,0.43,1,Home,Everton 1-0 West Ham
West Ham,1.43,0,Away,Everton 1-0 West Ham
Brentford,0.41,0,Home,Brentford 0-3 Arsenal
Arsenal,1.50,3,Away,Brentford 0-3 Arsenal
Son,0.62,3,Home,Son 3-2 Leicester
Leicester,1.68,2,Away,Son 3-2 Leicester
Tottenham,2.25,6,Home,Tottenham 6-2 Leicester
Leicester,1.68,2,Away,Tottenham 6-2 Leicester
Newcastle,1.77,1,Home,Newcastle 1-1 Bournemouth
Bournemouth,0.85,1,Away,Newcastle 1-1 Bournemouth
Wolves,0.32,0,Home,Wolves 0-3 Man City
Man City,1.30,3,Away,Wolves 0-3 Man City
Aston Villa,1.31,1,Home,Aston Villa 1-0 Southampton
Southampton,0.28,0,Away,Aston Villa 1-0 Southampton
N Forest,1.49,2,Home,N Forest 2-3 Fulham
Fulham,1.14,3,Away,N Forest 2-3 Fulham
Sheriff,0.42,0,Home,Sheriff 0-2 Man Utd
Man Utd,1.66,2,Away,Sheriff 0-2 Man Utd
Chelsea,1.54,1,Home,Chelsea 1-1 Salzburg
Salzburg,0.38,1,Away,Chelsea 1-1 Salzburg
Man City,1.11,2,Home,Man City 2-1 Dortmund
Dortmund,0.83,1,Away,Man City 2-1 Dortmund
Liverpool,2.14,2,Home,Liverpool 2-1 Ajax
Ajax,0.27,1,Away,Liverpool 2-1 Ajax
Bayern,1.58,2,Home,Bayern 2-0 Barcelona
Barcelona,1.98,0,Away,Bayern 2-0 Barcelona
Sporting CP,0.91,2,Home,Sporting CP 2-0 Spurs
